Hour,Arrivals,Waiting,Treating,Available Rooms,Total Treatment Time,Average Treatment Time,Total Wait Time,Average Wait Time,Total Arrivals
1,4,0,4,21,0,0,0,0,4
2,3,0,3,22,10260,2565,0,0,7
3,5,0,6,19,15840,2640,0,0,12
4,10,0,10,15,36900,3075,0,0,22
5,8,0,11,14,74580,3925,0,0,30
6,6,0,8,17,112380,4013,0,0,36
7,8,0,8,17,147600,4100,0,0,44
8,8,0,11,14,173940,4242,0,0,52
9,12,0,13,12,219300,4300,0,0,64
10,12,0,15,10,257820,4226,0,0,76
11,10,0,12,13,317580,4291,0,0,86
12,6,0,10,15,365820,4461,0,0,92
13,9,0,12,13,395280,4441,0,0,101
14,11,0,11,14,447180,4427,0,0,112
15,7,0,12,13,478320,4470,0,0,119
16,16,0,18,7,531000,4538,0,0,135
17,11,0,17,8,583620,4524,0,0,146
18,10,0,21,4,615180,4556,0,0,156
19,11,0,14,11,723780,4730,0,0,167
20,8,0,12,13,768900,4717,0,0,175
21,6,0,9,16,811680,4719,0,0,181
22,9,0,11,14,848760,4741,0,0,190
23,3,0,9,16,872280,4740,0,0,193
24,6,0,8,17,913380,4782,0,0,199
25,4,0,7,18,930180,4745,0,0,203
26,5,0,7,18,964920,4800,0,0,208
27,4,0,6,19,987840,4795,0,0,212
28,7,0,6,19,1012620,4754,0,0,219
29,10,0,9,16,1039800,4726,0,0,229
30,7,0,8,17,1072800,4705,0,0,236
31,12,0,12,13,1104600,4680,0,0,248
32,5,0,9,16,1140300,4673,0,0,253
33,11,0,14,11,1171200,4684,0,0,264
34,12,0,18,7,1207560,4680,0,0,276
35,11,0,17,8,1266600,4691,0,0,287
36,7,0,6,19,1343220,4663,0,0,294
37,12,0,13,12,1356180,4628,0,0,306
38,8,0,11,14,1402260,4627,0,0,314
39,9,0,14,11,1435440,4645,0,0,323
40,6,0,7,18,1497180,4649,0,0,329
41,11,0,12,13,1528380,4659,0,0,340
42,11,0,15,10,1553760,4624,0,0,351
43,9,0,13,12,1613820,4650,0,0,360
44,11,0,15,10,1653240,4643,0,0,371
45,13,0,12,13,1721520,4627,0,0,384
46,8,0,8,17,1771440,4613,0,0,392
47,4,0,6,19,1796880,4607,0,0,396
48,5,0,5,20,1828620,4617,0,0,401
49,4,0,4,21,1845780,4602,0,0,405
50,5,0,7,18,1860900,4617,0,0,410
51,5,0,6,19,1883040,4604,0,0,415
52,8,0,9,16,1901340,4592,0,0,423
53,5,0,5,20,1943100,4593,0,0,428
54,8,0,8,17,1958340,4575,0,0,436
55,11,0,15,10,1976520,4575,0,0,447
56,7,0,13,12,2015580,4570,0,0,454
57,9,0,11,14,2078280,4597,0,0,463
58,10,0,14,11,2102340,4580,0,0,473
59,10,0,11,14,2159460,4575,0,0,483
60,8,0,13,12,2191560,4584,0,0,491
61,15,0,19,6,2234160,4587,0,0,506
62,8,0,17,8,2277840,4583,0,0,514
63,14,0,19,6,2345220,4607,0,0,528
64,10,0,17,8,2406360,4618,0,0,538
65,8,0,13,12,2472960,4639,0,0,546
66,6,0,9,16,2529180,4657,0,0,552
67,5,0,9,16,2558640,4669,0,0,557
68,8,0,10,15,2603880,4691,0,0,565
69,4,0,8,17,2630880,4689,0,0,569
70,9,0,10,15,2663040,4688,0,0,578
71,3,0,6,19,2700480,4696,0,0,581
72,5,0,6,19,2724120,4696,0,0,586
73,4,0,7,18,2740140,4700,0,0,590
74,8,0,9,16,2763420,4691,0,0,598
75,7,0,9,16,2792220,4684,0,0,605
76,8,0,7,18,2833080,4675,0,0,613
77,7,0,8,17,2857920,4669,0,0,620
78,2,0,5,20,2888100,4680,0,0,622
79,8,0,7,18,2920920,4688,0,0,630
80,5,0,9,16,2934480,4687,0,0,635
81,9,0,10,15,2968740,4682,0,0,644
82,7,0,10,15,3009360,4694,0,0,651
83,8,0,10,15,3039060,4682,0,0,659
84,13,0,16,9,3077760,4691,0,0,672
85,4,0,10,15,3120900,4686,0,0,676
86,8,0,9,16,3170580,4697,0,0,684
87,10,0,13,12,3196980,4694,0,0,694
88,12,0,15,10,3235140,4681,0,0,706
89,6,0,9,16,3286920,4675,0,0,712
90,16,0,20,5,3312120,4678,0,0,728
91,6,0,14,11,3361620,4668,0,0,734
92,6,0,8,17,3440460,4700,0,0,740
93,5,0,9,16,3465000,4707,0,0,745
94,5,0,7,18,3505140,4717,0,0,750
95,6,0,9,16,3528960,4724,0,0,756
96,7,0,10,15,3566460,4736,0,0,763
97,4,0,9,16,3592560,4739,0,0,767
98,4,0,7,18,3632640,4754,0,0,771
99,3,0,6,19,3659460,4764,0,0,774
100,3,0,4,21,3685380,4767,0,0,777
101,6,0,7,18,3697740,4765,0,0,783
102,10,0,10,15,3723480,4755,0,0,793
103,14,0,16,9,3761580,4755,0,0,807
104,7,0,12,13,3813540,4755,0,0,814
105,7,0,11,14,3857820,4762,0,0,821
106,10,0,12,13,3900060,4761,0,0,831
107,5,0,12,13,3926400,4765,0,0,836
108,18,0,18,7,3988260,4770,0,0,854
109,6,0,16,9,4036020,4782,0,0,860
110,11,0,14,11,4106820,4792,0,0,871
111,7,0,10,15,4158960,4791,0,0,878
112,10,0,11,14,4199880,4788,0,0,888
113,11,0,13,12,4240140,4785,0,0,899
114,7,0,16,9,4259640,4786,0,0,906
115,8,0,11,14,4339020,4805,0,0,914
116,7,0,10,15,4377780,4805,0,0,921
117,7,0,11,14,4413180,4812,0,0,928
118,5,0,8,17,4455660,4816,0,0,933
119,9,0,12,13,4484280,4821,0,0,942
120,6,0,12,13,4509060,4817,0,0,948
121,1,0,3,22,4565760,4826,0,0,949
122,5,0,4,21,4586400,4827,0,0,954
123,5,0,7,18,4595160,4826,0,0,959
124,4,0,7,18,4612560,4824,0,0,963
125,5,0,9,16,4630200,4828,0,0,968
126,10,0,13,12,4659960,4828,0,0,978
127,6,0,9,16,4712580,4833,0,0,984
128,10,0,11,14,4747560,4829,0,0,994
129,17,0,20,5,4778820,4822,0,0,1011
130,16,0,21,4,4837740,4808,0,0,1027
131,13,0,18,7,4925760,4819,0,0,1040
132,10,0,17,8,4977720,4818,0,0,1050
133,16,0,20,5,5043840,4822,0,0,1066
134,18,0,25,0,5107500,4822,60,0,1084
135,7,0,15,10,5185620,4819,60,0,1091
136,6,0,4,21,5279340,4830,60,0,1097
137,8,0,8,17,5287980,4820,60,0,1105
138,11,0,9,16,5328900,4813,60,0,1116
139,6,0,7,18,5358420,4805,60,0,1122
140,5,0,4,21,5393820,4803,60,0,1127
141,2,0,3,22,5410500,4805,60,0,1129
142,7,0,8,17,5421720,4806,60,0,1136
143,10,0,13,12,5440500,4801,60,0,1146
144,7,0,8,17,5485560,4790,60,0,1153
145,4,0,5,20,5524380,4795,60,0,1157
146,5,0,7,18,5536620,4793,60,0,1162
147,6,0,11,14,5551620,4798,60,0,1168
148,7,0,8,17,5586300,4786,60,0,1175
149,10,0,9,16,5623080,4781,60,0,1185
150,3,0,10,15,5630160,4779,60,0,1188
151,5,0,4,21,5689320,4784,60,0,1193
152,10,0,13,12,5696280,4786,60,0,1203
153,4,0,7,18,5733960,4778,60,0,1207
154,16,0,13,12,5773920,4771,60,0,1223
155,15,0,19,6,5806080,4762,60,0,1238
156,6,0,13,12,5854680,4756,60,0,1244
157,11,0,12,13,5930940,4771,60,0,1255
158,8,0,11,14,5974920,4772,60,0,1263
159,11,0,16,9,6001860,4770,60,0,1274
160,9,0,12,13,6066480,4772,60,0,1283
161,13,0,16,9,6103740,4768,60,0,1296
162,6,0,13,12,6149040,4770,60,0,1302
163,6,0,10,15,6196260,4773,60,0,1308
164,12,0,12,13,6240840,4771,60,0,1320
165,11,0,16,9,6269100,4767,60,0,1331
166,11,0,16,9,6326880,4771,60,0,1342
167,5,0,9,16,6382320,4770,60,0,1347
168,10,0,14,11,6420540,4780,60,0,1357
169,6,0,9,16,6482220,4787,60,0,1363
170,4,0,5,20,6526020,4791,60,0,1367
171,5,0,4,21,6546780,4785,60,0,1372
172,12,0,13,12,6556800,4782,60,0,1384
173,6,0,11,14,6590340,4779,60,0,1390
174,2,0,2,23,6647100,4782,60,0,1392
175,12,0,13,12,6650100,4780,60,0,1404
176,8,0,14,11,6682320,4779,60,0,1412
177,8,0,11,14,6733680,4779,60,0,1420
178,7,0,8,17,6789540,4784,60,0,1427
179,3,0,9,16,6799140,4784,60,0,1430
180,7,0,8,17,6843720,4789,60,0,1437
181,14,0,14,11,6877740,4786,60,0,1451
182,6,0,13,12,6914100,4788,60,0,1457
183,6,0,10,15,6969780,4796,60,0,1463
184,10,0,12,13,7016520,4802,60,0,1473
185,7,0,9,16,7057320,4797,60,0,1480
186,9,0,11,14,7098240,4802,60,0,1489
187,5,0,7,18,7133340,4797,60,0,1494
188,6,0,9,16,7155480,4799,60,0,1500
189,8,0,11,14,7187160,4801,60,0,1508
190,5,0,10,15,7212840,4798,60,0,1513
191,7,0,10,15,7259220,4807,60,0,1520
192,5,0,11,14,7280640,4808,60,0,1525
193,3,0,5,20,7324260,4809,60,0,1528
194,3,0,3,22,7353540,4812,60,0,1531
195,7,0,7,18,7367880,4812,60,0,1538
196,5,0,11,14,7368600,4809,60,0,1543
197,4,0,9,16,7410540,4818,60,0,1547
198,7,0,11,14,7440000,4821,60,0,1554
199,10,0,12,13,7481340,4820,60,0,1564
200,5,0,8,17,7520820,4817,60,0,1569
201,6,0,7,18,7556640,4819,60,0,1575
202,12,0,13,12,7583100,4817,60,0,1587
203,19,0,22,3,7616460,4808,60,0,1606
204,6,0,10,15,7702140,4807,60,0,1612
205,13,0,16,9,7737540,4808,60,0,1625
206,10,0,16,9,7786680,4809,60,0,1635
207,13,0,16,9,7850460,4810,60,0,1648
208,13,0,20,5,7894260,4810,60,0,1661
209,6,0,13,12,7957440,4811,60,0,1667
210,10,0,13,12,7998780,4806,60,0,1677
211,15,0,16,9,8058000,4807,60,0,1692
212,10,0,19,6,8093100,4808,60,0,1702
213,5,0,8,17,8184540,4817,60,0,1707
214,9,0,11,14,8211960,4816,60,0,1716
215,8,0,13,12,8241480,4816,60,0,1724
216,8,0,11,14,8295300,4820,60,0,1732
217,6,0,9,16,8337120,4821,60,0,1738
218,7,0,10,15,8357100,4816,60,0,1745
219,1,0,2,23,8405940,4819,60,0,1746
220,5,0,5,20,8415360,4819,60,0,1751
221,5,0,5,20,8437260,4818,60,0,1756
222,14,0,15,10,8453520,4816,60,0,1770
223,4,0,7,18,8499780,4810,60,0,1774
224,9,0,8,17,8539500,4810,60,0,1783
225,13,0,15,10,8560200,4806,60,0,1796
226,9,0,11,14,8608020,4798,60,0,1805
227,18,0,21,4,8644620,4797,60,0,1823
228,4,0,12,13,8698080,4792,60,0,1827
229,9,0,12,13,8744220,4793,60,0,1836
230,6,0,10,15,8793420,4799,60,0,1842
231,7,0,11,14,8832780,4805,60,0,1849
232,14,0,14,11,8873880,4799,60,0,1863
233,5,0,10,15,8916180,4798,60,0,1868
234,9,0,12,13,8965320,4807,60,0,1877
235,4,0,5,20,9010140,4802,60,0,1881
236,8,0,8,17,9027840,4799,60,0,1889
237,11,0,12,13,9057420,4797,60,0,1900
238,7,0,11,14,9089040,4793,60,0,1907
239,4,0,8,17,9121140,4793,60,0,1911
240,7,0,9,16,9150600,4793,60,0,1918
241,3,0,7,18,9174360,4793,60,0,1921
242,6,0,7,18,9213660,4798,60,0,1927
243,4,0,5,20,9242580,4798,60,0,1931
244,4,0,5,20,9255660,4795,60,0,1935
245,7,0,8,17,9278580,4797,60,0,1942
246,4,0,9,16,9290760,4796,60,0,1946
247,6,0,7,18,9335340,4799,60,0,1952
248,9,0,10,15,9358620,4796,60,0,1961
249,11,0,12,13,9397260,4794,60,0,1972
250,5,0,7,18,9437340,4790,60,0,1977
251,5,0,6,19,9470940,4792,60,0,1982
252,10,0,12,13,9484680,4790,60,0,1992
253,16,0,18,7,9521160,4784,60,0,2008
254,14,0,18,7,9584040,4782,60,0,2022
255,14,0,20,5,9643020,4783,60,0,2036
256,13,0,21,4,9704280,4785,60,0,2049
257,9,0,12,13,9789780,4784,60,0,2058
258,6,0,7,18,9835500,4781,60,0,2064
259,9,0,11,14,9859920,4781,60,0,2073
260,10,0,16,9,9886440,4782,60,0,2083
261,9,0,13,12,9954360,4788,60,0,2092
262,3,0,7,18,10002480,4790,60,0,2095
263,6,0,6,19,10041480,4793,60,0,2101
264,5,0,6,19,10065000,4792,60,0,2106
265,5,0,6,19,10087440,4792,60,0,2111
266,5,0,6,19,10107240,4790,60,0,2116
267,17,0,17,8,10130940,4787,60,0,2133
268,5,0,10,15,10180800,4784,60,0,2138
269,6,0,7,18,10228500,4786,60,0,2144
270,9,0,11,14,10252020,4786,60,0,2153
271,8,0,12,13,10286100,4786,60,0,2161
272,9,0,10,15,10339560,4786,60,0,2170
273,3,0,6,19,10366680,4783,60,0,2173
274,13,0,14,11,10396500,4786,60,0,2186
275,6,0,12,13,10428660,4783,60,0,2192
276,8,0,9,16,10487760,4786,60,0,2200
277,4,0,9,16,10507740,4787,60,0,2204
278,7,0,10,15,10531740,4784,60,0,2211
279,11,0,13,12,10580280,4789,60,0,2222
280,7,0,11,14,10630920,4793,60,0,2229
281,7,0,11,14,10664400,4792,60,0,2236
282,6,0,7,18,10718280,4795,60,0,2242
283,7,0,9,16,10739040,4794,60,0,2249
284,7,0,11,14,10765740,4795,60,0,2256
285,10,0,12,13,10798140,4790,60,0,2266
286,8,0,11,14,10846140,4792,60,0,2274
287,5,0,6,19,10902060,4796,60,0,2279
288,7,0,9,16,10922520,4796,60,0,2286
289,2,0,4,21,10958580,4797,60,0,2288
290,5,0,6,19,10974000,4798,60,0,2293
291,9,0,7,18,11000760,4793,60,0,2302
292,8,0,8,17,11019180,4786,60,0,2310
293,6,0,6,19,11055180,4785,60,0,2316
294,9,0,9,16,11075760,4782,60,0,2325
295,6,0,7,18,11109300,4780,60,0,2331
296,9,0,11,14,11133540,4780,60,0,2340
297,11,0,12,13,11171520,4776,60,0,2351
298,10,0,14,11,11215440,4778,60,0,2361
299,14,0,15,10,11267880,4774,60,0,2375
300,9,0,12,13,11333460,4778,60,0,2384
301,9,0,12,13,11370960,4775,60,0,2393
302,12,0,11,14,11420700,4770,60,0,2405
303,11,0,14,11,11439300,4762,60,0,2416
304,10,0,10,15,11514600,4765,60,0,2426
305,9,0,14,11,11542860,4767,60,0,2435
306,8,0,11,14,11590860,4765,60,0,2443
307,9,0,11,14,11637840,4767,60,0,2452
308,6,0,9,16,11670240,4765,60,0,2458
309,7,0,10,15,11703900,4767,60,0,2465
310,7,0,8,17,11748540,4768,60,0,2472
311,8,0,5,20,11795700,4765,60,0,2480
312,9,0,11,14,11806320,4764,60,0,2489
313,8,0,11,14,11834580,4760,60,0,2497
314,4,0,6,19,11888280,4764,60,0,2501
315,9,0,9,16,11913480,4763,60,0,2510
316,4,0,7,18,11940780,4762,60,0,2514
317,9,0,11,14,11970300,4765,60,0,2523
318,6,0,8,17,12006060,4762,60,0,2529
319,4,0,6,19,12038880,4764,60,0,2533
320,8,0,6,19,12070920,4761,60,0,2541
321,14,0,13,12,12101160,4760,60,0,2555
322,5,0,13,12,12127140,4761,60,0,2560
323,7,0,7,18,12189060,4761,60,0,2567
324,8,0,10,15,12209700,4760,60,0,2575
325,8,0,12,13,12234720,4758,60,0,2583
326,15,0,15,10,12291600,4758,60,0,2598
327,9,0,12,13,12342420,4756,60,0,2607
328,6,0,9,16,12392880,4759,60,0,2613
329,14,0,13,12,12439740,4758,60,0,2627
330,9,0,18,7,12458700,4758,60,0,2636
331,6,0,9,16,12530820,4759,60,0,2642
332,6,0,7,18,12574920,4761,60,0,2648
333,9,0,8,17,12605700,4758,60,0,2657
334,5,0,9,16,12620940,4757,60,0,2662
335,5,0,7,18,12655920,4757,60,0,2667
336,3,0,5,20,12684060,4759,60,0,2670
337,10,0,9,16,12704100,4756,60,0,2680
338,2,0,6,19,12735300,4759,60,0,2682
339,4,0,3,22,12770700,4759,60,0,2686
340,3,0,3,22,12779040,4757,60,0,2689
341,7,0,8,17,12785520,4756,60,0,2696
342,10,0,13,12,12804780,4754,60,0,2706
343,3,0,9,16,12846960,4758,60,0,2709
344,13,0,12,13,12904320,4761,60,0,2722
345,8,0,14,11,12931860,4761,60,0,2730
346,6,0,9,16,12982800,4760,60,0,2736
347,10,0,12,13,13027500,4764,60,0,2746
348,10,0,13,12,13063020,4762,60,0,2756
349,8,0,9,16,13117140,4761,60,0,2764
350,11,0,14,11,13147500,4761,60,0,2775
351,9,0,12,13,13200720,4762,60,0,2784
352,8,0,12,13,13242840,4763,60,0,2792
353,12,0,13,12,13291200,4762,60,0,2804
354,6,0,8,17,13342500,4761,60,0,2810
355,4,0,3,22,13384080,4761,60,0,2814
356,9,0,11,14,13387860,4760,60,0,2823
357,5,0,9,16,13422060,4761,60,0,2828
358,4,0,8,17,13450140,4762,60,0,2832
359,6,0,8,17,13485300,4765,60,0,2838
360,4,0,4,21,13516980,4762,60,0,2842
361,4,0,5,20,13531680,4762,60,0,2846
362,8,0,8,17,13556460,4763,60,0,2854
363,10,0,14,11,13570260,4761,60,0,2864
364,6,0,10,15,13622820,4763,60,0,2870
365,10,0,11,14,13667640,4763,60,0,2880
366,3,0,6,19,13701480,4762,60,0,2883
367,8,0,10,15,13726080,4764,60,0,2891
368,6,0,12,13,13740240,4762,60,0,2897
369,8,0,11,14,13794060,4766,60,0,2905
370,9,0,10,15,13845240,4767,60,0,2914
371,15,0,14,11,13873440,4759,60,0,2929
372,11,0,17,8,13912860,4759,60,0,2940
373,6,0,8,17,13983540,4759,60,0,2946
374,19,0,18,7,14028540,4760,60,0,2965
375,8,0,16,9,14078940,4761,60,0,2973
376,9,0,13,12,14136540,4761,60,0,2982
377,10,0,13,12,14197080,4765,60,0,2992
378,16,0,19,6,14241000,4764,60,0,3008
379,8,0,15,10,14301240,4765,60,0,3016
380,7,0,12,13,14360220,4769,60,0,3023
381,9,0,7,18,14419680,4766,60,0,3032
382,3,0,3,22,14447940,4765,60,0,3035
383,8,0,10,15,14454540,4765,60,0,3043
384,7,0,9,16,14492820,4765,60,0,3050
385,7,0,9,16,14526000,4765,60,0,3057
386,5,0,8,17,14555160,4765,60,0,3062
387,10,0,11,14,14590020,4766,60,0,3072
388,1,0,8,17,14608260,4766,60,0,3073
389,7,0,9,16,14645280,4768,60,0,3080
390,10,0,13,12,14671200,4768,60,0,3090
391,12,0,15,10,14716320,4767,60,0,3102
392,13,0,18,7,14771340,4769,60,0,3115
393,6,0,8,17,14845980,4769,60,0,3121
394,7,0,9,16,14880720,4770,60,0,3128
395,7,0,10,15,14903160,4769,60,0,3135
396,8,0,11,14,14938140,4769,60,0,3143
397,14,0,14,11,14982660,4766,60,0,3157
398,8,0,10,15,15029160,4763,60,0,3165
399,12,0,17,8,15046920,4761,60,0,3177
400,7,0,12,13,15112320,4764,60,0,3184
401,5,0,8,17,15155700,4764,60,0,3189
402,13,0,11,14,15195480,4761,60,0,3202
403,8,0,11,14,15230580,4761,60,0,3210
404,5,0,8,17,15274500,4762,60,0,3215
405,2,0,4,21,15308400,4764,60,0,3217
406,5,0,6,19,15321660,4764,60,0,3222
407,3,0,8,17,15330420,4765,60,0,3225
408,4,0,6,19,15359640,4765,60,0,3229
409,8,0,7,18,15386940,4763,60,0,3237
410,9,0,10,15,15406200,4760,60,0,3246
411,4,0,6,19,15443760,4760,60,0,3250
412,3,0,5,20,15463260,4760,60,0,3253
413,9,0,6,19,15489120,4757,60,0,3262
414,11,0,13,12,15504900,4756,60,0,3273
415,13,0,15,10,15543960,4752,60,0,3286
416,7,0,14,11,15586380,4753,60,0,3293
417,4,0,8,17,15634560,4753,60,0,3297
418,7,0,7,18,15678600,4755,60,0,3304
419,9,0,8,17,15713460,4754,60,0,3313
420,13,0,13,12,15735840,4749,60,0,3326
421,13,0,17,8,15780180,4750,60,0,3339
422,13,0,17,8,15842160,4750,60,0,3352
423,12,0,15,10,15908880,4750,60,0,3364
424,7,0,12,13,15954600,4749,60,0,3371
425,6,0,8,17,16005540,4750,60,0,3377
426,8,0,8,17,16049340,4752,60,0,3385
427,7,0,7,18,16072020,4748,60,0,3392
428,4,0,7,18,16093440,4748,60,0,3396
429,9,0,10,15,16124700,4749,60,0,3405
430,13,0,16,9,16145520,4745,60,0,3418
431,6,0,8,17,16197960,4741,60,0,3424
432,4,0,4,21,16247100,4745,60,0,3428
433,5,0,7,18,16252380,4743,60,0,3433
434,5,0,6,19,16281360,4743,60,0,3438
435,3,0,3,22,16302480,4741,60,0,3441
436,10,0,12,13,16303980,4740,60,0,3451
437,11,0,16,9,16337520,4741,60,0,3462
438,8,0,13,12,16384020,4739,60,0,3470
439,5,0,12,13,16437780,4746,60,0,3475
440,13,0,13,12,16492080,4745,60,0,3488
441,12,0,14,11,16537020,4743,60,0,3500
442,5,0,5,20,16608360,4745,60,0,3505
443,9,0,9,16,16636500,4746,60,0,3514
444,15,0,22,3,16644240,4746,60,0,3529
445,7,0,12,13,16731600,4747,60,0,3536
446,8,0,12,13,16770120,4748,60,0,3544
447,10,0,13,12,16815960,4748,60,0,3554
448,10,0,12,13,16865460,4748,60,0,3564
449,16,0,19,6,16899780,4745,60,0,3580
450,6,0,12,13,16956960,4744,60,0,3586
451,7,0,11,14,17000580,4746,60,0,3593
452,7,0,11,14,17040600,4748,60,0,3600
453,9,0,11,14,17088000,4749,60,0,3609
454,7,0,14,11,17098500,4746,60,0,3616
455,7,0,13,12,17155260,4752,60,0,3623
456,7,0,13,12,17194560,4753,60,0,3630
457,7,0,9,16,17247180,4753,60,0,3637
458,8,0,8,17,17287920,4753,60,0,3645
459,6,0,10,15,17301540,4751,60,0,3651
460,6,0,7,18,17342400,4751,60,0,3657
461,5,0,6,19,17371980,4751,60,0,3662
462,6,0,7,18,17391780,4750,60,0,3668
463,9,0,11,14,17416020,4750,60,0,3677
464,5,0,11,14,17433600,4749,60,0,3682
465,14,0,15,10,17483760,4749,60,0,3696
466,11,0,22,3,17504700,4750,60,0,3707
467,12,0,21,4,17578920,4753,60,0,3719
468,14,0,17,8,17667000,4754,60,0,3733
469,12,0,17,8,17725020,4754,60,0,3745
470,11,0,14,11,17793180,4754,60,0,3756
471,10,0,13,12,17846580,4755,60,0,3766
472,10,0,15,10,17890260,4756,60,0,3776
473,14,0,16,9,17958660,4758,60,0,3790
474,7,0,14,11,17991900,4755,60,0,3797
475,6,0,9,16,18052800,4758,60,0,3803
476,5,0,8,17,18092340,4761,60,0,3808
477,10,0,12,13,18123300,4761,60,0,3818
478,6,0,9,16,18166620,4761,60,0,3824
479,7,0,7,18,18212460,4762,60,0,3831
480,6,0,10,15,18225180,4762,60,0,3837
481,7,0,9,16,18266580,4763,60,0,3844
482,6,0,9,16,18295380,4763,60,0,3850
483,6,0,9,16,18331260,4765,60,0,3856
484,3,0,5,20,18362160,4764,60,0,3859
485,5,0,7,18,18383040,4766,60,0,3864
486,5,0,5,20,18421980,4767,60,0,3869
487,2,0,2,23,18442200,4766,60,0,3871
488,11,0,7,18,18462540,4764,60,0,3882
489,6,0,9,16,18481500,4764,60,0,3888
490,6,0,8,17,18520740,4766,60,0,3894
491,10,0,11,14,18546600,4764,60,0,3904
492,6,0,8,17,18595740,4765,60,0,3910
493,9,0,12,13,18625980,4767,60,0,3919
494,16,0,21,4,18648360,4764,60,0,3935
495,16,0,21,4,18729540,4765,60,0,3951
496,9,0,14,11,18799080,4764,60,0,3960
497,9,0,11,14,18869340,4767,60,0,3969
498,14,0,20,5,18892680,4767,60,0,3983
499,4,0,11,14,18959940,4768,60,0,3987
500,8,0,10,15,19004460,4768,60,0,3995
501,7,0,12,13,19027200,4768,60,0,4002
502,8,0,9,16,19089000,4771,60,0,4010
503,13,0,15,10,19120080,4770,60,0,4023
504,9,0,15,10,19156980,4768,60,0,4032
505,10,0,15,10,19211580,4770,60,0,4042
506,8,0,13,12,19268460,4772,60,0,4050
507,4,0,8,17,19319100,4774,60,0,4054
508,4,0,4,21,19367460,4777,60,0,4058
509,6,0,8,17,19380000,4778,60,0,4064
510,11,0,12,13,19411860,4777,60,0,4075
511,6,0,9,16,19444440,4775,60,0,4081
512,8,0,9,16,19479660,4774,60,0,4089
513,7,0,9,16,19507920,4773,60,0,4096
514,12,0,12,13,19546380,4772,60,0,4108
515,13,0,14,11,19590720,4770,60,0,4121
516,12,0,11,14,19656360,4768,60,0,4133
517,18,0,18,7,19700160,4766,60,0,4151
518,15,0,21,4,19751520,4765,60,0,4166
519,10,0,16,9,19827360,4766,60,0,4176
520,6,0,9,16,19892640,4766,60,0,4182
521,8,0,13,12,19916580,4768,60,0,4190
522,9,0,9,16,19975680,4767,60,0,4199
523,9,0,10,15,20010240,4766,60,0,4208
524,9,0,12,13,20038200,4765,60,0,4217
525,3,0,5,20,20086800,4765,60,0,4220
526,7,0,5,20,20116920,4764,60,0,4227
527,8,0,9,16,20131620,4763,60,0,4235
528,6,0,12,13,20148060,4764,60,0,4241
529,3,0,6,19,20199060,4766,60,0,4244
530,3,0,4,21,20221500,4765,60,0,4247
531,6,0,6,19,20245440,4766,60,0,4253
532,8,0,12,13,20253360,4766,60,0,4261
533,4,0,6,19,20296260,4765,60,0,4265
534,5,0,4,21,20331660,4765,60,0,4270
535,5,0,6,19,20342640,4765,60,0,4275
536,18,0,18,7,20355300,4761,60,0,4293
537,4,0,8,17,20410440,4758,60,0,4297
538,11,0,14,11,20438100,4759,60,0,4308
539,13,0,15,10,20481120,4756,60,0,4321
540,8,0,14,11,20519460,4755,60,0,4329
541,7,0,9,16,20588340,4758,60,0,4336
542,11,0,13,12,20618520,4757,60,0,4347
543,12,0,14,11,20661060,4755,60,0,4359
544,10,0,10,15,20720220,4753,60,0,4369
545,12,0,11,14,20772840,4753,60,0,4381
546,7,0,12,13,20800500,4753,60,0,4388
547,6,0,8,17,20845680,4752,60,0,4394
548,2,0,4,21,20883480,4754,60,0,4396
549,8,0,9,16,20891940,4753,60,0,4404
550,10,0,13,12,20923740,4754,60,0,4414
551,8,0,14,11,20958660,4754,60,0,4422
552,7,0,9,16,21016140,4754,60,0,4429
553,6,0,11,14,21042900,4756,60,0,4435
554,6,0,4,21,21092520,4753,60,0,4441
555,4,0,3,22,21118380,4754,60,0,4445
556,9,0,9,16,21128160,4753,60,0,4454
557,1,0,7,18,21144780,4753,60,0,4455
558,7,0,7,18,21179580,4754,60,0,4462
559,8,0,11,14,21199800,4754,60,0,4470
560,10,0,12,13,21239100,4753,60,0,4480
561,14,0,17,8,21269400,4750,60,0,4494
562,8,0,18,7,21299940,4750,60,0,4502
563,14,0,16,9,21397800,4755,60,0,4516
564,18,5,25,0,21408420,4753,300,0,4534
565,10,0,18,7,21529620,4756,7260,1,4544
566,9,0,13,12,21601500,4758,7260,1,4553
567,16,0,21,4,21652200,4760,7260,1,4569
568,9,0,17,8,21723060,4762,7260,1,4578
569,7,0,14,11,21793020,4767,7260,1,4585
570,12,0,15,10,21850680,4768,7260,1,4597
571,9,0,13,12,21897060,4767,7260,1,4606
572,9,0,14,11,21938340,4768,7260,1,4615
573,7,0,9,16,22009200,4771,7260,1,4622
574,5,0,8,17,22036200,4770,7260,1,4627
575,8,0,11,14,22057920,4770,7260,1,4635
576,5,0,5,20,22105680,4769,7260,1,4640
577,3,0,7,18,22113300,4769,7260,1,4643
578,7,0,9,16,22136520,4769,7260,1,4650
579,4,0,6,19,22166880,4769,7260,1,4654
580,4,0,6,19,22185540,4769,7260,1,4658
581,6,0,7,18,22211220,4769,7260,1,4664
582,2,0,4,21,22235160,4769,7260,1,4666
583,4,0,4,21,22253400,4769,7260,1,4670
584,7,0,8,17,22267740,4769,7260,1,4677
585,11,0,14,11,22288800,4768,7260,1,4688
586,14,0,18,7,22328040,4766,7260,1,4702
